 lambda 	 <C_abs>/v 	 <C_sca>/v
0.001862 	 5.512619650616513e-05 	 0.03558536030884794
0.001884 	 5.68517282078035e-05 	 0.03554825593115602
0.001905 	 5.865340115025486e-05 	 0.03563504110513784
0.001928 	 6.041628396123e-05 	 0.0355589871039106
0.00195 	 6.22943462742509e-05 	 0.03554957835169724
0.001972 	 6.425403577070858e-05 	 0.035643326158530365
0.001995 	 6.625936382457223e-05 	 0.0356002925732135
0.002018 	 6.833968503109885e-05 	 0.03560350599631291
0.002042 	 7.043807909125115e-05 	 0.035578848025817185
0.002065 	 7.260147102782439e-05 	 0.03561236072971749
0.002089 	 7.477860415555048e-05 	 0.035567707389769596
0.002113 	 7.704077918327836e-05 	 0.03556591220514311
0.002138 	 7.938596366203208e-05 	 0.03554050140293468
0.002163 	 8.180831397310895e-05 	 0.035508881574572715
0.002188 	 8.432376174594242e-05 	 0.035517397453954706
0.002213 	 8.69107953374189e-05 	 0.03551912163178099
0.002239 	 8.952701652563755e-05 	 0.03545145382438477
0.002265 	 9.215493848103567e-05 	 0.03541698562364175
0.002291 	 9.486498492151249e-05 	 0.03537882076187031
0.002317 	 9.77069680087777e-05 	 0.03538055587320619
0.002344 	 0.00010061620970830244 	 0.035320278031197604
0.002371 	 0.00010364757756724519 	 0.03529868833236742
0.002399 	 0.00010673545354896646 	 0.03518142326783458
0.002427 	 0.0001099194492506915 	 0.03513725226557697
0.002455 	 0.00011316311826684975 	 0.035056162321742995
0.002483 	 0.000116464518880949 	 0.035007810673743416
0.002512 	 0.0001197417583825069 	 0.03496418011586245
0.002541 	 0.00012319979879744748 	 0.03489607355709145
0.00257 	 0.00012680098403881034 	 0.034834466218399536
0.0026 	 0.00013049036545162172 	 0.03475601638474364
0.00263 	 0.00013432712418221296 	 0.03465667567321628
0.002661 	 0.0001382086384380488 	 0.034539791135145596
0.002692 	 0.00014219682947750432 	 0.034403024028684406
0.002723 	 0.00014627319915242807 	 0.034274211815080155
0.002754 	 0.0001504642996653433 	 0.034181725336815516
0.002786 	 0.00015485628691287476 	 0.03401119712935079
0.002818 	 0.00015943677169661532 	 0.03388548426256857
0.002851 	 0.00016399935838940386 	 0.03369540854203938
0.002884 	 0.00016859835499630034 	 0.03349183479724386
0.002917 	 0.00017337178128632314 	 0.03333292629092737
0.002951 	 0.00017811571593652413 	 0.033116271565372814
0.002985 	 0.00018288770691861174 	 0.032910902177618405
0.00302 	 0.00018775906465961297 	 0.03268467374420828
0.003055 	 0.00019251889557474124 	 0.03243919407824445
0.00309 	 0.0001974337675315904 	 0.03221783210113691
0.003126 	 0.00020269333124857205 	 0.031983010254566874
0.003162 	 0.0002080898276471317 	 0.03171977523201288
0.003199 	 0.00021355212207057703 	 0.031461512669210656
0.003236 	 0.00021914039311986535 	 0.031196657633291297
0.003273 	 0.00022472648654559867 	 0.030948419091400777
0.003311 	 0.00023048589023473052 	 0.030654240794787537
0.00335 	 0.00023640753362210928 	 0.03031981014385489
0.003388 	 0.0002426237006211259 	 0.030021458701457213
0.003428 	 0.0002486752367778065 	 0.029648436584325342
0.003467 	 0.0002550117963638203 	 0.02932934295564262
0.003508 	 0.00026140536182485126 	 0.028938325802908855
0.003548 	 0.0002679551837402619 	 0.028570374784648907
0.003589 	 0.00027462134548163615 	 0.028151072622158668
0.003631 	 0.00028128263685368773 	 0.027690152556035245
0.003673 	 0.0002881231226093923 	 0.027286529912681247
0.003715 	 0.00029502667708552024 	 0.02684714060126165
0.003758 	 0.0003021263828120013 	 0.026334046287045113
0.003802 	 0.00030930328638707305 	 0.02577179125408491
0.003846 	 0.0003165256848672818 	 0.025181831285529883
0.00389 	 0.00032390084762206717 	 0.024923296680319205
0.003935 	 0.00033133899977991004 	 0.024874667359376507
0.003981 	 0.00033892470243980705 	 0.0243757593413773
0.004027 	 0.0003465312313337552 	 0.02353354109488171
0.004074 	 0.00035416996410129315 	 0.02244264203333441
0.004121 	 0.00036192175791821535 	 0.02125975451694275
0.004169 	 0.0003695775374157031 	 0.01947804563672511
0.004217 	 0.0003774210953546593 	 0.0179381734098657
0.004266 	 0.0003851692672547145 	 0.017186875405475824
0.004315 	 0.0003929103065379072 	 0.01758757187704556
0.004365 	 0.00040055033829114407 	 0.019450688711418092
0.004416 	 0.00040850346387896974 	 0.021664920317447312
0.004467 	 1.8427693089757507e-05 	 0.003323439572942505
0.004519 	 1.8947903328552645e-05 	 0.0009299873837473747
0.004571 	 1.9500470316402095e-05 	 7.631033852317948e-05
0.004624 	 2.0079923513568026e-05 	 0.0002347506439503088
0.004677 	 2.068070239012852e-05 	 0.000991793643896203
0.004732 	 2.129308178182042e-05 	 0.0020431902323040686
0.004786 	 2.1920793206707806e-05 	 0.0030444927948354416
0.004842 	 2.2532756007225074e-05 	 0.0037368977167195447
0.004898 	 2.3172056771113e-05 	 0.004349727413550494
0.004954 	 2.3837756495271596e-05 	 0.004863151140424261
0.005012 	 2.452727671131393e-05 	 0.005261273342326399
0.00507 	 2.523291250731132e-05 	 0.00554779680669215
0.005129 	 2.594902378761432e-05 	 0.00571325833798162
0.005188 	 2.668026901663012e-05 	 0.005884026016804545
0.005248 	 2.742131523977756e-05 	 0.006201584630286762
0.005309 	 2.819394966312885e-05 	 0.006498166274087717
0.00537 	 2.900209011131137e-05 	 0.006784726788474573
0.005433 	 2.982606792959793e-05 	 0.007044019497646975
0.005495 	 3.068859728803311e-05 	 0.007297891675490814
